# wav(nm): wavelength in nm (vacuum)
# flux: normalized flux
wav(nm),flux
357.40575450820666,0.67128464
357.44576971364154,0.67263116
357.4857849192418,0.6847570199999999
357.5258001250072,0.69727362
357.5658153309378,0.70580394
357.6058305370335,0.7104197400000001
357.6458457432943,0.71277772
357.68586094972005,0.7089138800000001
357.72587615631073,0.70317604
357.76589136306626,0.70167026
357.8059065699864,0.70977382
357.8459217770713,0.7204387000000001
357.8859369843207,0.72969022
357.92595219173484,0.73636368
357.96596739931323,0.7434928000000001
358.0059826070562,0.75300648
358.0459978149633,0.7633929
358.0860130230348,0.77050036
358.12602823127037,0.764595
358.16604343967003,0.73974988
358.2060586482338,0.7017801
358.2460738569615,0.66517544
358.28608906585305,0.65023224
358.3261042749085,0.66155078
358.36611948412764,0.69327866
358.40613469351047,0.72973906
358.4461499030569,0.7564476800000001
358.4861651127669,0.7587669800000001
